Date,Close,Volume
2011-07-12,319.0295,113433904
2011-07-13,320.6689,120588704
2011-07-14,318.2338,111756304
2011-07-15,318.4794,126640800
2011-07-18,315.0948,96466416
2011-07-19,321.3286,98726560
2011-07-20,319.4749,77111616
2011-07-21,323.1952,91892912
2011-07-22,324.4908,66307200
2011-07-25,322.4953,73982352
2011-07-26,321.8873,91199472
2011-07-27,316.2033,107840400
2011-07-28,314.5824,109442096
2011-07-29,313.2105,125163200
2011-08-01,311.4243,114540000
2011-08-02,300.01,132781504
2011-08-03,302.0025,145611392
2011-08-04,287.369,188616608
2011-08-05,287.7629,231579200
2011-08-08,268.5714,254802592
2011-08-09,281.536,250612096
2011-08-10,269.2197,242005296
2011-08-11,281.379,204048304
2011-08-12,284.7153,140361200
2011-08-15,288.8101,118754096
2011-08-16,287.553,128661504
2011-08-17,286.7034,117331200
2011-08-18,272.5062,168709600
2011-08-19,268.7593,162628192
2011-08-22,269.6449,119494496
2011-08-23,279.9681,121993400
2011-08-24,284.5784,117990000
2011-08-25,279.0354,115654000
2011-08-26,284.9543,116940096
2011-08-29,293.1985,88139952
2011-08-30,294.364,117097104
2011-08-31,296.1399,124339000
2011-09-01,292.3059,102735504
2011-09-02,284.2513,98987808
2011-09-06,283.1032,109831200
2011-09-07,290.4991,96498544
2011-09-08,286.5984,101060800
2011-09-09,278.8636,129219800
2011-09-12,282.1356,111227696
2011-09-13,285.4352,113295296
2011-09-14,290.1382,119250400
2011-09-15,295.2099,107212096
2011-09-16,298.1549,209845504
2011-09-19,298.0362,95312808
2011-09-20,296.2657,105406304
2011-09-21,287.3268,122187400
2011-09-22,277.8938,168435104
2011-09-23,282.378,121310600
2011-09-26,288.5205,113659400
2011-09-27,290.817,112068496
2011-09-28,286.0209,102730800
2011-09-29,283.5775,125099600
2011-09-30,275.5344,128733696
2011-10-03,267.5813,136677504
2011-10-04,275.8948,150708992
2011-10-05,280.9618,120519600
2011-10-06,287.2402,99526240
2011-10-07,286.7378,110704096
2011-10-10,296.8362,79942464
2011-10-11,297.7073,81830280
2011-10-12,300.8589,103076400
2011-10-13,300.3368,80915032
2011-10-14,305.5225,78289136
2011-10-17,299.6422,81793560
2011-10-18,305.1291,104892200
2011-10-19,300.7191,88371344
2011-10-20,302.0549,88929952
2011-10-21,310.5193,122258896
2011-10-24,314.8741,95351936
2011-10-25,307.8351,102583904
2011-10-26,306.7424,120650896
2011-10-27,314.8675,129676400
2011-10-28,312.8149,108840704
2011-10-31,308.0648,103503000
2011-11-01,301.1636,130467904
2011-11-02,304.5997,101237504
2011-11-03,308.5395,109678496
2011-11-04,307.4976,81868176
2011-11-07,308.8943,82362576
2011-11-08,312.2589,88950592
2011-11-09,300.94,108550304
2011-11-10,303.7292,88668840
2011-11-11,311.3654,80748472
2011-11-14,309.2082,70135104
2011-11-15,310.3119,83814256
2011-11-16,304.3157,99311824
2011-11-17,299.24,102785000
2011-11-18,298.8513,103462800
2011-11-21,294.2425,95490384
2011-11-22,294.0606,88975984
2011-11-23,287.8438,83040304
2011-11-25,286.7172,40646968
2011-11-28,295.4207,87421272
2011-11-29,295.9334,87683744
2011-11-30,305.3886,149874496
2011-12-01,305.4571,82601904
2011-12-02,307.8044,95055960
2011-12-05,310.4489,94004560
2011-12-06,309.8029,77008088
2011-12-07,311.2822,93773296
2011-12-08,304.9402,91077512
2011-12-09,309.8044,71990992
2011-12-12,308.8701,80073872
2011-12-13,302.7755,103882704
2011-12-14,299.1882,87890736
2011-12-15,299.7153,81811328
2011-12-16,300.1097,184552000
2011-12-19,296.4435,70154624
2011-12-20,304.75,85508488
2011-12-21,305.787,79335360
2011-12-22,306.7024,68736432
2011-12-23,310.0981,45774420
2011-12-27,310.7115,47219008
2011-12-28,307.008,52302380
2011-12-29,310.2728,50433712
2011-12-30,308.5797,52165740
2012-01-03,311.4747,83955112
2012-01-04,313.7104,89821592
2012-01-05,315.9856,95704728
2012-01-06,316.5299,83146368
2012-01-09,316.5071,84563504
2012-01-10,318.4539,103373904
2012-01-11,318.8256,84592560
2012-01-12,319.8173,77156464
2012-01-13,318.8677,81545160
2012-01-17,320.3528,83140224
2012-01-18,325.3474,87253608
2012-01-19,328.3939,89718304
2012-01-20,325.8763,103049504
2012-01-23,325.2019,73886816
2012-01-24,326.3476,75005184
2012-01-25,328.4687,87138328
2012-01-26,328.2003,94955584
2012-01-27,327.4688,93240280
2012-01-30,326.9118,82279760
2012-01-31,326.6537,111137696
2012-02-01,327.6586,90123792
2012-02-02,327.3557,86159240
2012-02-03,333.8867,91025664
2012-02-06,333.419,74415848
2012-02-07,334.7774,70357928
2012-02-08,335.5759,80674592
2012-02-09,336.205,83055904
2012-02-10,334.6132,69347528
2012-02-13,337.0464,64542048
2012-02-14,336.7489,73142576
2012-02-15,335.0812,85762064
